month,year,time,route_id,weekdays_in_month,year_cent,gtfs,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,workers_16_over,median_earnings,emp_pop_ratio,log_upt,log_upt_avg,log_vrm,log_gas_price,log_perc_car,log_perc_taxicab,log_perc_wfh,log_perc_female,log_below_fpl,log_fpl_100_150,log_perc_renter_occupied,log_population,log_labor_part_rate,log_unemp_rate,log_perc_hshlds_noveh
3,2024,39,18,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,1911.7455752646508,40028.95630667945,58.49753788343194,9.271341393533582,6.226818955810159,9.101154772225144,1.2220091668120345,4.131116248114827,-0.11318614293890385,2.72499941094471,3.717019207649678,1.664385275583409,1.8894408127547748,4.082128901835595,8.109809840564365,4.118605322783015,1.5389860855952522,2.6567549774393004
3,2024,39,19,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2402.349683861352,45736.7762882218,68.35654329568165,9.734240155229445,6.6897177175060225,9.372524695499623,1.2220091668120345,4.228247594025726,1.2464443275620536,2.7686758218980487,4.025524843845708,2.2622388838143466,2.1329784372891214,4.131054673523164,8.309772836998981,4.2583956331068284,1.266539890342666,2.8266972621856965
3,2024,39,22,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2234.045701507096,58245.90543389064,67.43573009521539,10.273118207635076,7.228595769911653,9.716046513527342,1.2220091668120345,4.249926926500457,0.7263995091537007,2.878533959223144,3.9506810778011645,1.8988634100091932,1.5902307826777045,4.033496280780436,8.18403515921805,4.280595886379099,1.8726756735756096,2.3964008434816737
3,2024,39,23,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2538.308045767895,42892.59063530482,67.65754440965358,10.714551093197692,7.670028655474268,10.282711007242792,1.2220091668120345,4.36407917372271,0.3252915770091503,2.5153131226931293,3.920078268788184,2.409002176717808,2.3667554793805374,3.975154557665022,8.534822754761842,4.289927403982429,1.9872985475462717,2.500481082804128
3,2024,39,28,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2712.933931143943,53967.3309318962,73.91841266721487,8.412499120301572,5.367976682578148,8.587478294279133,1.2220091668120345,4.285330109044354,0.6416295270596863,2.878711486438989,3.8843129356668804,1.7522904156716395,2.085449753901508,4.080005494937105,8.425017642875437,4.355330332807363,1.6187275470474067,2.5927934818338656
3,2024,39,29,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2278.28257698281,43409.20498391174,64.46170428711993,9.401786836547139,6.357264398823715,8.674352483683947,1.2220091668120345,4.158087714828633,1.5589838466334835,2.636203233071089,4.025734779905043,2.2624476605429646,2.2413086294036857,4.2873408490788325,8.273025268775264,4.20086897966278,1.1988159583337583,3.0804042217399212
3,2024,39,34,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2919.0726848459863,54534.67982785868,72.5052966382868,8.662331957082475,5.617809519359053,9.05091664738571,1.2220091668120345,4.295505474539114,0.39724677320178065,3.0142584201555502,3.873994531636668,1.5199554642946709,1.5737265213114457,3.5476196869204073,8.498649801207229,4.322149798909458,1.331101812022481,2.2366320852233157
3,2024,39,41,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2274.338218454294,38561.76895388249,66.05156467314886,7.111512116496157,4.0669896787727335,7.72067019105271,1.2220091668120345,4.355164692507292,1.1994121128688744,2.4943370029874905,4.047857925889823,2.6618705638081575,2.104433029733845,3.864322503081504,8.397513943082492,4.240632830076087,1.5937853749806092,2.375182682046561
3,2024,39,42,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2484.688425259823,60675.93670399497,72.42338696076395,8.86007342433278,5.815550986609358,8.440864910045418,1.2220091668120345,4.175367881680495,0.1509058168127718,3.0599159345345894,4.030723062309403,2.1394055705205126,1.2418268180307652,4.251002469949762,8.206501508453277,4.351939958320035,1.8616237440945982,2.4760071804250186
3,2024,39,50,21,3,F23_S24,0,1,0,0,0,0,0,0,0,0,0,2401.187823562367,56303.22147962,74.8285692539444,10.628206071933391,7.583683634209969,10.097165629253633,1.2220091668120345,4.2175777696300765,0.6746398324575011,3.1183452704556838,3.9149283631924043,2.0181581427844706,1.7177846968320403,4.138264162227569,8.232024595776268,4.342124934492333,0.8979338565405086,2.1461340706847
